run       : eixo1_densenet121_s0
arch      : densenet121 (pretrained=True)  seed=0
manifesto : v2 ed5c1eb749ec9e72...  mask=None
fit/val/test: 175,591 / 19,511 / 83,613 imgs  (11,805 / 2,268 / 6,044 sujeitos)
batch 96 | steps/epoch 1,829 | epochs 30 | warmup 2 ep | early stop patience off
val 1/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 14/30: train 0.0065/0.9982 | val loss 0.0206 acc 0.9943 f1 0.9943 err 0.5689%  | 197s 890 img/s
val 15/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 15/30: train 0.0061/0.9983 | val loss 0.0181 acc 0.9950 f1 0.9950 err 0.4972%  | 197s 890 img/s
val 16/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 16/30: train 0.0053/0.9985 | val loss 0.0155 acc 0.9962 f1 0.9962 err 0.3793% * | 198s 887 img/s
val 17/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 17/30: train 0.0042/0.9988 | val loss 0.0135 acc 0.9968 f1 0.9968 err 0.3178% * | 209s 840 img/s
val 18/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 18/30: train 0.0043/0.9988 | val loss 0.0146 acc 0.9963 f1 0.9963 err 0.3690%  | 204s 862 img/s
val 19/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 19/30: train 0.0029/0.9993 | val loss 0.0134 acc 0.9969 f1 0.9969 err 0.3126% * | 204s 860 img/s
val 20/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 20/30: train 0.0024/0.9994 | val loss 0.0177 acc 0.9956 f1 0.9956 err 0.4357%  | 200s 878 img/s
val 21/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 21/30: train 0.0017/0.9996 | val loss 0.0135 acc 0.9966 f1 0.9966 err 0.3434%  | 202s 867 img/s
val 22/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 22/30: train 0.0013/0.9997 | val loss 0.0132 acc 0.9972 f1 0.9972 err 0.2819% * | 206s 852 img/s
val 23/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 23/30: train 0.0011/0.9998 | val loss 0.0124 acc 0.9972 f1 0.9972 err 0.2819%  | 205s 859 img/s
val 24/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 24/30: train 0.0008/0.9998 | val loss 0.0135 acc 0.9971 f1 0.9971 err 0.2870%  | 201s 872 img/s
val 25/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 25/30: train 0.0007/0.9999 | val loss 0.0136 acc 0.9971 f1 0.9971 err 0.2921%  | 201s 875 img/s
val 26/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 26/30: train 0.0006/0.9999 | val loss 0.0143 acc 0.9969 f1 0.9969 err 0.3075%  | 207s 846 img/s
val 27/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 27/30: train 0.0005/0.9999 | val loss 0.0139 acc 0.9971 f1 0.9971 err 0.2921%  | 210s 836 img/s
val 28/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 28/30: train 0.0005/0.9999 | val loss 0.0139 acc 0.9970 f1 0.9970 err 0.3024%  | 202s 867 img/s
val 29/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 29/30: train 0.0004/0.9999 | val loss 0.0139 acc 0.9971 f1 0.9971 err 0.2870%  | 201s 875 img/s
val 30/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 30/30: train 0.0005/0.9999 | val loss 0.0139 acc 0.9972 f1 0.9972 err 0.2768% * | 201s 874 img/s
test:   0%|          | 0/436 [00:00<?, ?it/s]
TESTE (best.pt, epoca 30): acc 0.9981  f1 0.9981  erro 0.1914% (160 / 83613)
-> runs/eixo1_densenet121_s0/metrics.json
