run       : eixo1_densenet121_s1
arch      : densenet121 (pretrained=True)  seed=1
manifesto : v2 ed5c1eb749ec9e72...  mask=None
fit/val/test: 175,591 / 19,511 / 83,613 imgs  (11,805 / 2,268 / 6,044 sujeitos)
batch 96 | steps/epoch 1,829 | epochs 30 | warmup 2 ep | early stop patience off
val 1/30:   0%|          | 0/102 [00:00<?, ?it/s]
val 21/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 21/30: train 0.0015/0.9996 | val loss 0.0152 acc 0.9968 f1 0.9968 err 0.3229%  | 201s 874 img/s
val 22/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 22/30: train 0.0015/0.9996 | val loss 0.0131 acc 0.9970 f1 0.9970 err 0.2973%  | 202s 871 img/s
val 23/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 23/30: train 0.0011/0.9998 | val loss 0.0143 acc 0.9969 f1 0.9969 err 0.3075%  | 204s 861 img/s
val 24/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 24/30: train 0.0008/0.9999 | val loss 0.0133 acc 0.9972 f1 0.9972 err 0.2768%  | 206s 854 img/s
val 25/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 25/30: train 0.0006/0.9999 | val loss 0.0134 acc 0.9973 f1 0.9973 err 0.2716% * | 205s 857 img/s
val 26/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 26/30: train 0.0005/0.9999 | val loss 0.0143 acc 0.9974 f1 0.9974 err 0.2614% * | 204s 859 img/s
val 27/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 27/30: train 0.0005/0.9999 | val loss 0.0147 acc 0.9973 f1 0.9973 err 0.2665%  | 201s 874 img/s
val 28/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 28/30: train 0.0004/0.9999 | val loss 0.0142 acc 0.9973 f1 0.9974 err 0.2665%  | 206s 854 img/s
val 29/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 29/30: train 0.0004/0.9999 | val loss 0.0144 acc 0.9972 f1 0.9972 err 0.2768%  | 205s 857 img/s
val 30/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 30/30: train 0.0004/1.0000 | val loss 0.0146 acc 0.9973 f1 0.9973 err 0.2665%  | 204s 860 img/s
test:   0%|          | 0/436 [00:00<?, ?it/s]
TESTE (best.pt, epoca 26): acc 0.9980  f1 0.9980  erro 0.1997% (167 / 83613)
-> runs/eixo1_densenet121_s1/metrics.json
