poda global por magnitude: alvo 50.00% -> obtida 50.0000% dos pesos podáveis (3.54 M não-nulos de 6.97 M)
run       : eixo2b_prunefirst_densenet121_p50_s0
arch      : densenet121 (pretrained=True)  seed=0
manifesto : v2 ed5c1eb749ec9e72...  mask=None
fit/val/test: 175,591 / 19,511 / 83,613 imgs  (11,805 / 2,268 / 6,044 sujeitos)
batch 96 | steps/epoch 1,829 | epochs 30 | warmup 2 ep | early stop patience off
val 1/30:   0%|          | 0/102 [00:00<?, ?it/s]
val 21/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 21/30: train 0.0018/0.9995 | val loss 0.0139 acc 0.9966 f1 0.9966 err 0.3434%  | 198s 886 img/s
val 22/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 22/30: train 0.0013/0.9997 | val loss 0.0145 acc 0.9969 f1 0.9969 err 0.3075%  | 198s 885 img/s
val 23/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 23/30: train 0.0011/0.9998 | val loss 0.0128 acc 0.9971 f1 0.9971 err 0.2870% * | 198s 885 img/s
val 24/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 24/30: train 0.0008/0.9998 | val loss 0.0145 acc 0.9969 f1 0.9969 err 0.3075%  | 198s 885 img/s
val 25/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 25/30: train 0.0006/0.9999 | val loss 0.0148 acc 0.9969 f1 0.9969 err 0.3075%  | 199s 884 img/s
val 26/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 26/30: train 0.0006/0.9999 | val loss 0.0151 acc 0.9968 f1 0.9968 err 0.3229%  | 198s 886 img/s
val 27/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 27/30: train 0.0005/0.9999 | val loss 0.0147 acc 0.9971 f1 0.9971 err 0.2921%  | 198s 886 img/s
val 28/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 28/30: train 0.0005/0.9999 | val loss 0.0148 acc 0.9970 f1 0.9970 err 0.2973%  | 199s 884 img/s
val 29/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 29/30: train 0.0005/0.9999 | val loss 0.0147 acc 0.9970 f1 0.9970 err 0.2973%  | 198s 885 img/s
val 30/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 30/30: train 0.0005/0.9999 | val loss 0.0149 acc 0.9969 f1 0.9969 err 0.3075%  | 199s 884 img/s
test:   0%|          | 0/436 [00:00<?, ?it/s]
TESTE (best.pt, epoca 23): acc 0.9980  f1 0.9980  erro 0.2033% (170 / 83613)
-> runs/eixo2b_prunefirst_densenet121_p50_s0/metrics.json
densenet121: params 6.97 M (nao-nulos 3.54 M, esparsidade 49.3%) | MACs 2.86 G @ 224px | FP32 27.2 MiB, gzip 15.8 MiB [1.1s]
-> runs/eixo2b_prunefirst_densenet121_p50_s0/cost.json
